from_station_code,Train_name,zone,chair_car,second_ac,first_ac,first_class,third_ac,sleeper,total no of classes ,from_station_name,number,arrival,departure,return_train,to_station_code,to_station_name,duration_m,duration_h,type,distance
,,,,,,,,,0,,,,,,,,,,,
GKP,GORAKHPUR - MUMBAI LTT Exp,CR,0,1,0,0,1,1,3,GORAKHPUR JN,11056,16:05:00,06:25:00,11055,LTT,LOKMANYA TILAK TERM,40,33,Exp,1733
,,,,,,,,,0,,,,,,,,,,,
DR,Dadar Amritsar Express,CR,0,1,0,0,1,1,3,MUMBAI DADAR CENTRAL,11057,16:30:00,23:45:00,11058,ASR,AMRITSAR JN,45,40,Exp,2037
,,,,,,,,,0,,,,,,,,,,,
DR,Dadar Amritsar Express Slip,CR,0,1,0,0,1,1,3,MUMBAI DADAR CENTRAL,11057-Slip,07:25:00,23:45:00,,DHI,Dhule,40,7,Exp,375
,,,,,,,,,0,,,,,,,,,,,
ASR,Amritsar Dadar Express,CR,0,1,0,0,1,1,3,AMRITSAR JN,11058,04:00:00,08:30:00,11057,DR,MUMBAI DADAR CENTRAL,30,43,Exp,2037
,,,,,,,,,0,,,,,,,,,,,
LTT,MUMBAI LTT - CHHAPRA Godan Exp,CR,0,1,0,0,1,1,3,LOKMANYA TILAK TERM,11059,20:55:00,10:55:00,11060,CPR,CHHAPRA,0,34,Exp,1772
,,,,,,,,,0,,,,,,,,,,,
CPR,CHHAPRA - MUMBAI LTT Godan Exp,CR,0,1,0,0,1,1,3,CHHAPRA,11060,16:05:00,05:30:00,11059,LTT,LOKMANYA TILAK TERM,35,34,Exp,1772
,,,,,,,,,0,,,,,,,,,,,
DBG,DARBHANGA - MUMBAI LTT Pawan Exp,CR,0,1,0,0,1,1,3,DARBHANGA JN,11062,03:45:00,15:50:00,11061,LTT,LOKMANYA TILAK TERM,55,35,Exp,1791
,,,,,,,,,0,,,,,,,,,,,
KTYM,Kottayam Kollam Passenger,SR,0,0,0,0,0,0,0,KOTTAYAM,56305,08:10:00,05:40:00,,QLN,KOLLAM JN,30,2,Pass,96
,,,,,,,,,0,,,,,,,,,,,
RNC,Ranchi Lohardaga Passenger,SER,0,0,0,0,0,0,0,RANCHI,58651,07:00:00,05:30:00,58652,LAD,Lohardaga,30,1,Pass,67
,,,,,,,,,0,,,,,,,,,,,
JU,Jodhpur Pipar Road Passenger Special,NWR,0,0,0,0,0,0,0,JODHPUR JN,4858,19:28:00,18:30:00,4857,PPR,PIPAR ROAD JN,58,0,Pass,46
,,,,,,,,,0,,,,,,,,,,,
FBD,Farrukhabad-KanpurAnwarganj Passenger,NER,0,0,0,0,0,0,0,FARRUKHABAD,5305,14:25:00,11:00:00,5306,CPA,KANPUR ANWARGANJ,25,3,Pass,138
,,,,,,,,,0,,,,,,,,,,,
CPA,KanpurAnwarganj-Farrukhabad Special,NER,0,0,0,0,0,0,0,KANPUR ANWARGANJ,5306,18:20:00,14:55:00,5305,FBD,FARRUKHABAD,25,3,Exp,138
,,,,,,,,,0,,,,,,,,,,,
KYQ,Kamakhya - Mumbai LTT (Weekly) Special,NFR,0,0,0,0,1,1,2,KAMAKHYA,5650,22:45:00,15:50:00,5649,LTT,LOKMANYA TILAK TERM,55,54,Exp,2613
,,,,,,,,,0,,,,,,,,,,,
LMG,Hill Queen Express,NFR,1,0,0,0,0,0,1,LUMDING JN,5697,13:30:00,09:45:00,5698,LFG,Lower Haflong,45,3,JShtb,104
,,,,,,,,,0,,,,,,,,,,,
LFG,Hill Queen Express,NFR,1,0,0,0,0,0,1,Lower Haflong,5698,17:30:00,13:45:00,5697,LMG,LUMDING JN,45,3,JShtb,104
,,,,,,,,,0,,,,,,,,,,,
QLN,Kollam-Chennai Central SF Special,SR,0,1,0,0,1,1,3,KOLLAM JN,6002,03:40:00,11:30:00,6001,MAS,CHENNAI CENTRAL,10,16,SF,858
,,,,,,,,,0,,,,,,,,,,,
MAS,Chennai Central-Kollam Special,SR,0,1,0,0,1,1,3,CHENNAI CENTRAL,6003,11:30:00,20:45:00,6002,QLN,KOLLAM JN,45,14,Exp,857
,,,,,,,,,0,,,,,,,,,,,
QLN,Kollam-Chennai Central Special,SR,0,1,0,0,1,1,3,KOLLAM JN,6004,10:45:00,17:50:00,6005,MAS,CHENNAI CENTRAL,55,16,Exp,857
,,,,,,,,,0,,,,,,,,,,,
MAS,Chennai Central-Kollam SF Special,SR,0,1,0,0,1,1,3,CHENNAI CENTRAL,6005,11:30:00,20:45:00,6006,QLN,KOLLAM JN,45,14,SF,857
,,,,,,,,,0,,,,,,,,,,,
QLN,Kollam-Chennai Central SF Special,SR,0,1,0,0,1,1,3,KOLLAM JN,6006,10:45:00,17:50:00,6007,MAS,CHENNAI CENTRAL,55,16,SF,857
,,,,,,,,,0,,,,,,,,,,,
MAS,Chennai Central-Kollam SF Special,SR,0,1,0,0,1,1,3,CHENNAI CENTRAL,6007,06:45:00,15:15:00,6008,QLN,KOLLAM JN,30,15,SF,858
,,,,,,,,,0,,,,,,,,,,,
QLN,KollamChennai Central SF Special,SR,0,1,0,0,1,1,3,KOLLAM JN,6008,03:40:00,11:30:00,6007,MAS,CHENNAI CENTRAL,10,16,SF,858
,,,,,,,,,0,,,,,,,,,,,
MAS,Chennai CentralKollam SF Special,SR,0,1,0,0,1,1,3,CHENNAI CENTRAL,6009,15:30:00,23:30:00,6008,QLN,KOLLAM JN,0,16,SF,858
,,,,,,,,,0,,,,,,,,,,,
MAS,Chennai Central Kollam (Weekly) SF Special,SR,0,1,0,0,1,1,3,CHENNAI CENTRAL,6011,05:45:00,15:15:00,6010,QLN,KOLLAM JN,30,14,SF,858
,,,,,,,,,0,,,,,,,,,,,
MYS,Mysore-Sainagar Shirdi Special,SWR,0,1,0,0,1,1,3,MYSORE JN,6201,11:30:00,05:30:00,6202,SNSI,SAINAGAR SHIRDI,0,30,Exp,1304
,,,,,,,,,0,,,,,,,,,,,
SNSI,Sainagar Shirdi - Mysore Special,SWR,0,1,0,0,1,1,3,SAINAGAR SHIRDI,6202,07:10:00,23:55:00,6201,MYS,MYSORE JN,15,31,Exp,1304
,,,,,,,,,0,,,,,,,,,,,
MYS,Mysore Nanjangud Town passenger,SWR,0,0,0,0,0,0,0,MYSORE JN,6215,17:05:00,16:10:00,6216,NTW,NANJANGUD TOWN,55,0,Pass,25
,,,,,,,,,0,,,,,,,,,,,
NTW,Nanjangud Town Mysore Passenger,SWR,0,0,0,0,0,0,0,NANJANGUD TOWN,6216,18:20:00,17:30:00,6215,MYS,MYSORE JN,50,0,Pass,25
,,,,,,,,,0,,,,,,,,,,,
SMET,Shimoga Mysore Express,SWR,0,0,0,0,0,1,1,Shimoga Town,6228,07:00:00,22:10:00,,MYS,MYSORE JN,50,8,Exp,276
,,,,,,,,,0,,,,,,,,,,,
NCJ,Nagercoil-Mangalore Special,SR,0,1,0,0,1,1,3,NAGERCOIL JN,6301,10:30:00,16:50:00,6302,MAJN,MANGALORE JN,40,17,Exp,711
,,,,,,,,,0,,,,,,,,,,,
MAJN,Mangalore-Nagercoil Special,SR,0,1,0,0,1,1,3,MANGALORE JN,6302,07:50:00,16:15:00,6301,NCJ,NAGERCOIL JN,35,15,Exp,711
,,,,,,,,,0,,,,,,,,,,,
YPR,Yesvantpur - Ahmedabad Garib Rath Special,SWR,0,0,0,0,1,0,1,YESVANTPUR JN,6501,16:10:00,05:20:00,6502,ADI,AHMEDABAD JN,50,34,GR,1719
,,,,,,,,,0,,,,,,,,,,,
ADI,Ahmedabad -Yesvantpur Garib Rath Special,SWR,0,0,0,0,1,0,1,AHMEDABAD JN,6502,11:25:00,20:15:00,6501,YPR,YESVANTPUR JN,10,39,GR,1719
,,,,,,,,,0,,,,,,,,,,,
YPR,Bijapur Express,SWR,0,1,1,0,1,1,4,YESVANTPUR JN,6535,11:00:00,19:45:00,6536,BJP,BIJAPUR,15,15,Exp,712
,,,,,,,,,0,,,,,,,,,,,
BJP,Bijapur-Yesvantpur Special,SWR,0,1,1,0,1,1,4,BIJAPUR,6536,09:15:00,17:40:00,6535,YPR,YESVANTPUR JN,35,15,Exp,712
,,,,,,,,,0,,,,,,,,,,,
YPR,Yesvantpur-Hosur Passenger Special,SWR,0,0,0,0,0,0,0,YESVANTPUR JN,6591,07:55:00,06:20:00,6592,HSRA,Hosur,35,1,Pass,67
,,,,,,,,,0,,,,,,,,,,,
HSRA,Hosur-Yesvantpur Passenger,SWR,0,0,0,0,0,0,0,Hosur,6592,09:50:00,08:10:00,6593,YPR,YESVANTPUR JN,40,1,Pass,67
,,,,,,,,,0,,,,,,,,,,,
HSRA,Hosur-Yesvantpur Passenger Special,SWR,0,0,0,0,0,0,0,Hosur,6594,19:20:00,17:45:00,6593,YPR,YESVANTPUR JN,35,1,Pass,67
,,,,,,,,,0,,,,,,,,,,,
YPR,Yesvantpur-Devanhalli Special,SWR,0,0,0,0,0,0,0,YESVANTPUR JN,6595,11:45:00,10:40:00,6596,DHL,Devanhalli,5,1,Pass,36
,,,,,,,,,0,,,,,,,,,,,
DHL,Devanahalli-Yesvantpur Special,SWR,0,0,0,0,0,0,0,Devanhalli,6596,14:25:00,13:15:00,6595,YPR,YESVANTPUR JN,10,1,Pass,36
,,,,,,,,,0,,,,,,,,,,,
CBE,Coimbatore-Nagercoil Special,SR,0,1,0,0,1,1,3,COIMBATORE JN,6617,06:40:00,20:20:00,6618,NCJ,NAGERCOIL JN,20,10,Exp,497
,,,,,,,,,0,,,,,,,,,,,
NCJ,Nagercoil-Coimbatore Special,SR,0,1,0,0,1,1,3,NAGERCOIL JN,6618,08:00:00,20:15:00,6617,CBE,COIMBATORE JN,45,11,Exp,497
,,,,,,,,,0,,,,,,,,,,,
CBE,Coimbatore-Yesvantpur SF Special,SR,1,0,0,0,0,0,1,COIMBATORE JN,6621,13:20:00,06:00:00,6622,YPR,YESVANTPUR JN,20,7,SF,440
,,,,,,,,,0,,,,,,,,,,,
YPR,Yesvantpur-Coimbatore SF Special,SR,1,0,0,0,0,0,1,YESVANTPUR JN,6622,21:40:00,14:15:00,6621,CBE,COIMBATORE JN,25,7,SF,440
,,,,,,,,,0,,,,,,,,,,,
KKDI,Karaikkudi Manamadurai Passenger,SR,0,0,0,0,0,0,0,Karaikkudi Junction,6837,19:50:00,18:30:00,6838,MNM,MANAMADURAI JN,20,1,Pass,61
,,,,,,,,,0,,,,,,,,,,,
MNM,Manamadurai Karaikkudi Passenger,SR,0,0,0,0,0,0,0,MANAMADURAI JN,6838,09:15:00,07:55:00,6837,KKDI,Karaikkudi Junction,20,1,Pass,61
,,,,,,,,,0,,,,,,,,,,,
TPJ,Tiruchirappalli Karaikkudi Passenger Special,SR,0,0,0,0,0,0,0,TIRUCHIRAPPALLI,6839,18:15:00,15:55:00,6840,KKDI,Karaikkudi Junction,20,2,Pass,90
,,,,,,,,,0,,,,,,,,,,,
KKDI,Karaikkudi-Tiruchirappalli Passenger Special,SR,0,0,0,0,0,0,0,Karaikkudi Junction,6840,12:05:00,09:40:00,6839,TPJ,TIRUCHIRAPPALLI,25,2,Pass,90
,,,,,,,,,0,,,,,,,,,,,
UBL,Hubli Jn - Vasco Da Gama Link Express,?,0,0,0,0,1,1,2,HUBLI JN,6948,06:30:00,23:00:00,,VSG,VASCO DA GAMA,30,7,Exp,236
,,,,,,,,,0,,,,,,,,,,,
HYB,Hyderabad-Korba Special,SCR,0,1,0,0,1,1,3,HYDERABAD DECCAN,7003,05:45:00,10:45:00,7004,KRBA,Korba,0,19,Exp,996
,,,,,,,,,0,,,,,,,,,,,
KRBA,Korba-Hyderabad Special,SCR,0,1,0,0,1,1,3,Korba,7004,04:45:00,08:00:00,7003,HYB,HYDERABAD DECCAN,45,20,Exp,999
,,,,,,,,,0,,,,,,,,,,,
AII,Ajmer - Hyderabad Special,SCR,0,1,0,0,1,1,3,AJMER JN,7105,14:00:00,22:45:00,7106,HYB,HYDERABAD DECCAN,15,39,Exp,2033
,,,,,,,,,0,,,,,,,,,,,
MSB,Chennai Beach Tambaram EMU,SR,0,0,0,0,0,0,0,CHENNAI BEACH,40005,07:15:00,06:20:00,,TBM,TAMBARAM,55,0,MEMU,29
,,,,,,,,,0,,,,,,,,,,,
SHG,Shahganj Ballia Passenger,NER,0,0,0,0,0,0,0,SHAHGANJ JN,55138,10:45:00,06:15:00,55137,BUI,BALLIA,30,4,Pass,168
,,,,,,,,,0,,,,,,,,,,,
KTYM,Kottayam Kollam Passenger,SR,0,0,0,0,0,0,0,KOTTAYAM,56393,20:15:00,17:45:00,56394,QLN,KOLLAM JN,30,2,Pass,96
,,,,,,,,,0,,,,,,,,,,,
NBD,DELHI SARAI ROHILLA - KOTDWAR Mussoorie Exp,,0,0,0,0,0,0,0,NAJIBABAD JN,24041,None,None,24042,KTW,KOTDWARA,,,,
,,,,,,,,,0,,,,,,,,,,,
KOP,Shahu Maharaj T. Kolhapur - Hyderabad Special,SCR,0,1,0,0,1,1,3,C SHAHU M RAJ KOLHAPUR TERM,7144,06:45:00,07:30:00,7143,HYB,HYDERABAD DECCAN,15,23,Exp,998
,,,,,,,,,0,,,,,,,,,,,
MYS,Mysore Shimoga Express,SWR,0,0,0,0,0,1,1,MYSORE JN,7301,06:10:00,22:15:00,,SMET,Shimoga Town,55,7,Exp,276
,,,,,,,,,0,,,,,,,,,,,
ADB,Adilabad-Nanded Special,SCR,0,0,0,0,0,0,0,ADILABAD,7403,12:15:00,07:30:00,7404,NED,HUZUR SAHIB NANDED,45,4,Pass,185
,,,,,,,,,0,,,,,,,,,,,
NED,Nanded-Adilabad Special,SCR,0,0,0,0,0,0,0,HUZUR SAHIB NANDED,7404,19:30:00,15:00:00,7403,ADB,ADILABAD,30,4,Pass,185
,,,,,,,,,0,,,,,,,,,,,
KCG,Kacheguda Kamareddi Special,SCR,0,0,0,0,0,0,0,KACHEGUDA,7603,12:30:00,09:10:00,7604,KMC,KAMAREDDI,20,3,Pass,114
,,,,,,,,,0,,,,,,,,,,,
KMC,Kamareddi-Nizamabad Passenger Special,SCR,0,0,0,0,0,0,0,KAMAREDDI,7605,13:40:00,12:45:00,7606,NZB,NIZAMABAD,55,0,Pass,52
,,,,,,,,,0,,,,,,,,,,,
NZB,Nizamabad-Kamareddi Special,SCR,0,0,0,0,0,0,0,NIZAMABAD,7606,15:15:00,14:20:00,7605,KMC,KAMAREDDI,55,0,Pass,52
,,,,,,,,,0,,,,,,,,,,,
SC,Secunderabad - Mancherial Special,SCR,0,0,0,0,0,0,0,SECUNDERABAD JN,7607,09:35:00,05:30:00,7608,MCI,MANCHIRYAL,5,4,Exp,239
,,,,,,,,,0,,,,,,,,,,,
MCI,Mancherial - Secunderabad Special,SCR,0,0,0,0,0,0,0,MANCHIRYAL,7608,14:30:00,10:30:00,7607,SC,SECUNDERABAD JN,0,4,Exp,239
,,,,,,,,,0,,,,,,,,,,,
KGP,Kharagpur-Jhargram Express Special,SER,1,0,0,0,0,0,1,KHARAGPUR JN,8001,10:45:00,10:10:00,8002,JGM,JHARGRAM,35,0,Exp,39
,,,,,,,,,0,,,,,,,,,,,
JGM,Jhargram-Kharagpur Special,SER,1,0,0,0,0,0,1,JHARGRAM,8002,19:20:00,18:25:00,8001,KGP,KHARAGPUR JN,55,0,Exp,39
,,,,,,,,,0,,,,,,,,,,,
MYS,Mysore - Howrah Special,SER,0,1,0,0,1,1,3,MYSORE JN,8004,14:50:00,00:30:00,8003,HWH,HOWRAH JN,20,38,Exp,2111
,,,,,,,,,0,,,,,,,,,,,
KGP,Kharagpur- Jhargram MEMU Special,?,0,0,0,0,0,0,0,KHARAGPUR JN,8017,06:00:00,05:10:00,8018,JGM,JHARGRAM,50,0,MEMU,38
,,,,,,,,,0,,,,,,,,,,,
JGM,Jhargram - Kharagpur MEMU Special,SER,0,0,0,0,0,0,0,JHARGRAM,8018,23:05:00,22:10:00,8017,KGP,KHARAGPUR JN,55,0,MEMU,38
,,,,,,,,,0,,,,,,,,,,,
SHM,Kolkata Shalimar-Haridwar Puja Special,SER,0,1,0,0,1,1,3,KOLKATA SHALIMAR,8043,23:05:00,17:20:00,8044,HW,HARIDWAR JN,45,29,Exp,1595
,,,,,,,,,0,,,,,,,,,,,
KGP,Kharagpur- Jhargram MEMU Special,?,0,0,0,0,0,0,0,KHARAGPUR JN,8051,06:45:00,06:07:00,8052,JGM,JHARGRAM,38,0,MEMU,38
,,,,,,,,,0,,,,,,,,,,,
JGM,Jhargram - Kharagpur MEMU Special,SER,0,0,0,0,0,0,0,JHARGRAM,8052,18:40:00,18:00:00,8051,KGP,KHARAGPUR JN,40,0,MEMU,38
,,,,,,,,,0,,,,,,,,,,,
SHM,Shalimar-Tirupati Special,SER,0,1,0,0,1,1,3,KOLKATA SHALIMAR,8055,18:00:00,15:50:00,8056,TPTY,TIRUPATI MAIN,10,26,SF,1616
,,,,,,,,,0,,,,,,,,,,,
TATA,Tatanagar Bilaspur Passenger,SER,0,0,0,0,0,0,0,TATANAGAR JN,8113,06:45:00,16:30:00,8114,BSP,BILASPUR JN,15,14,Pass,470
,,,,,,,,,0,,,,,,,,,,,
BSP,Bilaspur Tatanagar Passenger,SER,0,0,0,0,0,0,0,BILASPUR JN,8114,12:30:00,18:50:00,8113,TATA,TATANAGAR JN,40,17,Pass,470
,,,,,,,,,0,,,,,,,,,,,
PURI,Puri-Bangalore weekly Garib Rath special,ECoR,0,0,0,0,1,0,1,PURI,8469,22:45:00,14:30:00,8470,SBC,BANGALORE CITY JN,15,32,GR,1529
,,,,,,,,,0,,,,,,,,,,,
SBC,Bangalore-Puri Garib Rath Special,ECoR,0,0,0,0,1,0,1,BANGALORE CITY JN,8470,05:50:00,23:55:00,8469,PURI,PURI,55,29,GR,1529
,,,,,,,,,0,,,,,,,,,,,
BBS,Bhubaneswar - Tirupati Weekly Special,ECoR,0,1,0,0,1,1,3,BHUBANESWAR,8471,09:45:00,11:45:00,8472,TPTY,TIRUPATI MAIN,0,22,Exp,1205
,,,,,,,,,0,,,,,,,,,,,
TPTY,Tirupati - Bhubaneswar Weekly Special,ECoR,0,1,0,0,1,1,3,TIRUPATI MAIN,8472,14:00:00,14:00:00,8471,BBS,BHUBANESWAR,0,24,Exp,1205
,,,,,,,,,0,,,,,,,,,,,
VSKP,Visakhapatnam-Secunderabad Special,ECoR,0,1,0,0,1,1,3,VISHAKAPATNAM,8565,09:00:00,19:40:00,8566,SC,SECUNDERABAD JN,20,13,Exp,701
,,,,,,,,,0,,,,,,,,,,,
SC,Secunderabad Vishakaptnam Special,ECoR,0,1,0,0,1,1,3,SECUNDERABAD JN,8566,10:15:00,21:30:00,8565,VSKP,VISHAKAPATNAM,45,12,Exp,701
